,Unnamed: 0,id_str,label,raw_text
0,0,1240963977275899904,Comment,
1,1,1231939639017197568,Comment,
2,2,1240567998731165696,Comment, 
3,3,1242207071438811136,Unrelated,
4,4,1239294527816503296,Unrelated,
5,5,1244673429812457472,Comment,
6,6,1242081255354744832,Support,
7,7,1240555505539522560,Support,
8,8,1243457884450676736,Unrelated,
9,9,1240247937638293504,Support,"Wir hatten einen Todesfall in der Familie in England. Die Regierung unternimmt nicht viel. Die Familie ist zwar unter Quarantäne, Kontaktpersonen aber nicht 🤦🏻‍♀️ coronavirus unbelievableUK"
10,10,1239589041772933120,Comment,
11,11,1246589885227687936,Support,"Corona-Krise: „Das geht zu weit“ – Linke und Grüne kritisieren Reiseverbote via <USERNAME>
Ausgerechnet!!!
Ganz ehrlich???
Ihr seid nicht mehr dicht im Kopp...
Bei Stand von wievielen Toten geht euch das nicht mehr zu weit???
Flachzangen!!!"
12,12,1239599590376181760,Unrelated,
13,13,1241441871638953984,Comment,"Hoffentlich bekommen Wir keine bzw wird eine Ausgangssperre nicht nötig! Schöner wäre wenn alle sich an Corona Regeln halten!!Was mich anfängt zu nerven, das bestimmte Leute, gerade Die, Die sonst wenig einkaufen,Hamstern wie blöd!! Leute das ist Unsosozial!Absolut Egoistisch!"
14,14,1246360452424069120,Comment,
15,15,1239855728988479488,Support,"Eine der vielfältigen Einsatzmöglichkeiten von Visualisierung, in dem Fall zur Verdeutlichung des wichtigen Beitrages, den socialdistancing in solchen Ausnahmesituationen leistet. COVID19 StayAtHome iorestoacasa 
"
16,16,1241672919299821568,Unrelated,"Achten Sie bitte auch auf Fundtiere. WICHTIG: Der Coronavirus wird von Mensch zu Mensch übertragen, nicht von Fledermaus zu Mensch! Was zu tun ist, wenn eine Fledermaus gefunden wird, schauen Sie bitte hier: Fledermäuse BUND Corona WirBleibenZuhause "
17,17,1249232384312184832,Comment,"weil er beim lockdown hintendran war, will laschet nun beim rebounden vornedran sein. "
18,18,1241454537531064320,Support," Wenn man sagen könnte, dass <USERNAME> rechtzeitig wichtige Maßnahmen gegen das coronavirus in die Wege leiten wollte, die dann an den Ländern gescheitert wären, könnte ich das nachvollziehen. So aber scheint es um ganz andere Dinge zu gehen 🤔"
19,19,1254113613616427008,Comment,"Wegen Corona-Lockdown können Bienen in vielen Ländern Plantagen nicht bestäuben. Bienenvölker verhungern, Ernteverluste drohen. Wieder zeigt sich, wie wichtig eine Agrarwende weg von industr. Landwirtschaft hin zu lokaler, kleinflächiger Produktion ist."
20,20,1244365913278873600,Comment,
21,21,1241796813159649280,Comment,
22,22,1253699386699374592,Unrelated,
23,23,1250002178951036928,Comment,
24,24,1241473970072936448,Comment,
25,25,1240628057922142208,Comment,"Coronavirus: ""Parks und Spielplätze bleiben offen"" bei 1-Meter-Sicherheitsregel "
26,26,1253671288272564224,Comment,"+++ Während sich der Großteil der Bevölkerung an die Ausgangsbeschränkungen hält, feiern diese Unternehmer eine Party. +++
"
27,27,1251916073240162304,Comment,Quarantäne 2 - Der Speck muss weg. corona AnimalCrossing ACNH NintendoSwitch 
28,28,1241739567868280832,Unrelated,"Puuh, wir sind ziemlich geschafft, aber im Endspurt mit dem Video. Die Abgabe um 18 Uhr sollte klappen. Wir halten Euch auf dem laufenden. WirvsVirus WirVsVirusHack hackathon COVIDー19 Bundesregierung coronavirus coronavirusdeutschland ZuhauseBleiben zuhause"
29,29,1243958349647032320,Unrelated,
30,30,1242748245203398656,Unrelated,
31,31,1242718657161113600,Comment,
32,32,1246891866202742784,Unrelated,
33,33,1235279453946867712,Comment," Die stecken sich alle mit Corona an und werden in Lager interniert, äh.. unter Quarantäne gestellt.. bevorzugt in der Türkei.."
34,34,1238200458281435136,Comment, Dragon Ball [translated from Japanese]
35,35,1238038131510779904,Support,
36,36,1240328415842054144,Refute," Ist die Bundesregierung allein für EU-Grenzen zuständig?
Die EU hat Einreiseverbote verhängt.
Das Asylrecht soll also wegen Covid19 gänzlich beseitigt werden?
Euch ist das bisschen Verstand längst verloren gegangen."
