,id_str,label,raw_text
0,1237167654785503232,Refute,
1,1240963597863452672,Comment,Live: Ministerpräsident Söder zu neuen Corona-Maßnahmen in Bayern. #Covid19DE #Coronavirus https://t.co/pV2o58Iwc5
2,1252566270270214144,Unrelated,
3,1239191746426425344,Comment,
4,1242190498678308864,Comment,
5,1241281864045924352,Unrelated,
6,1240564576397262848,Refute,
7,1241031972501303296,Unrelated,
8,1240965866541416448,Comment,"#Bayern #Ausgangsbeschränkung 

Ab Freitag 00:00 für 14 Tage

- Arbeit: weiter ja
- Logopäden, Therapeuten,... gr geschlossen
- Altenheime/Kkh weitestgehen kein Besuch
- Friseure zu
- Bau- Gartenmärkte zu
- Gastronomie zu!!! (ausser togo/drivein/)

#corona #covid19 #covid19de"
9,1252530769211375616,Unrelated,Welche Corona-Regeln in welchem Bundesland gelten https://t.co/YSNZEpPTlT? @SZ
10,1241727407305998336,Unrelated,@pefabiodemelo Anjo não dorme!!!
11,1252504843371057152,Comment,
12,1237466066135199744,Refute,
13,1240627341728059392,Refute,
14,1243905316900745216,Unrelated,
15,1234857888646123520,Unrelated,
16,1251986917639536640,Unrelated,
17,1240188691282137088,Comment,"@de_rt_com's account has been withheld in Portugal, Finland, Sweden, Ireland, Slovenia, Czech Republic, Poland, Slovakia, Hungary, Italy, Malta, Germany, Greece, Romania, Netherlands, Bulgaria, Austria, Luxembourg, Latvia, United Kingdom, Denmark, Lithuania, Croatia, Estonia, Cyprus, France, Spain, Belgium in response to a legal demand. Learn more."
18,1239997249901518848,Comment,
19,1240211543872200704,Unrelated,
20,1241487880972832768,Refute,
21,1242067261613105152,Unrelated,"Eigendlich sollte der Artikel Gangbang gegen Corona heissen, doch dann kam das Kontaktverbot... https://t.co/CnxF9UT38p"
22,1243569345076367360,Unrelated,
23,1240009625522647040,Refute,
24,1242180403961700352,Support,
25,1247994091209732096,Unrelated,
26,1234245985842466816,Unrelated,
27,1240205671565611008,Refute,
28,1233332404338614272,Comment,"Coronavirus: Sportanlässe, die von der Zuschauersperre betroffen sind https://t.co/H6GJKRzKO0 https://t.co/y87b3c6WLO"
29,1241330015373004800,Support,"Die Stadt #Wien hat ein Video für die kleinsten unter uns erstellt, welches hervorragend den #coronavirus erklärt und warum es wichtig ist, dass wir jetzt alle zuhause bleiben.

Wir sind weiterhin für Euch im #EinsatzfürBadBrückenau
#StayAtHome #franken
https://t.co/W8XRdDZIiT"
30,1254674469165170688,Refute,
31,1223358033021095936,Comment,@littIeprince_jm I think she blocked me because I’m not a Harrie anymore hehe
32,1243858657307242496,Support,"Leute. Wenn ihr aufs #tempelhoferfeld geht, haltet Abstand. Kein Grillen, keine Gruppen. Noch besser: zu Hause bleiben.
#wirbleibenzuhause #StayAtHome #wirhabenplatz https://t.co/OHwuFQdVAx"
33,1241192569993867264,Comment,
34,1242098107510394880,Refute,
35,1241844426885844992,Unrelated,".@OlafScholz : Keiner von uns kann sagen, was das richtige ist. Das müssen wir miteinander und mit Experten erarbeiten und dann aber auch den Mut haben zu entscheiden. #Kontaktverbot #Söder #Laschet #Scholz #covid_19DE #illner"
36,1241014935498481664,Comment,
37,1241580002593968128,Unrelated,
38,1240641463542788096,Unrelated,"Er hat es sicherlich nur gut gemeint! #COVID2019de #coronavirus
Ein Grund mehr, zuhause zu bleiben... #wirbleibenzuhause https://t.co/ank8lXpWQy"
39,1240513307594969088,Support,"Nicht kündigen, #Kurzarbeit #corona beantragen! Dass es beste Regelungen gibt, darauf drängen und schauen die Interessensvertretungen der ArbeitnehmerInnen mit der Kompetenz ihrer MitarbeiterInnen! @Arbeiterkammer @oegb_at https://t.co/YVN8JI3HUb"
40,1222890810389061632,Unrelated,
41,1240024082273402880,Unrelated,"#nudeln #hamsterkäufe #lustig #spass #fun #lachen #witzig #shirt #spruch #krank #virus #corona #pandemi #epidemie #quarantäne #panik #panikmache #ausverkauft #spaß @ Rheinland-Pfalz, Germany https://t.co/UGjnebvAyw"
42,1243637263180931072,Unrelated,"@Widdershins2018 dass das Krisenmanagement diese falsche Botschaft gegeben habe. Wer davon ausgeht,dass Alte und Kranke sowieso an #Corona sterben,hat etwas falsch verstanden. Um das zu verhindern,gibt es doch die ganzen Maßnahmen."
43,1240303291399057408,Unrelated,
44,1248626597940178944,Comment,"Berater der Bundesregierung machen laut einem Pressebericht die Aufhebung der Kontaktbeschränkungen vom Einsatz von Atemschutzmasken abhängig.
https://t.co/1gvp1kc4Bc
#Coronavirusde #Exitstrategie"
45,1248601590358917120,Refute,
46,1238119970543992832,Unrelated,
47,1240024818516398080,Unrelated,
48,1240606858353823744,Unrelated,
49,1244722291596025856,Refute,"Unter #Corona-Vorwand: #Orban im Eiltempo Richtung #Faschismus. #Ungarn heute: Ausgangsperre, Parlament fakt. aufgelöst, keine Wahlen, Medienmaulkorb, Militär patrouilliert. #fckafd gratuliert. #CDU/#CSU stehen bisher weiter treu zu ihrem Fraktions-Brudi:

https://t.co/tGw0uRWyNy https://t.co/G3uFCVdcys"
50,1238509383149027328,Unrelated,
51,1240746995356180480,Comment,
52,1240140942021181440,Unrelated,
53,1254003035476557824,Unrelated,"Ein paar Tipps für die #Corona-Debatte

1) Es ist IMMER legitim zu fragen, ob bestimmte Einschränkungen noch notwendig sind
2) Die Antwort darauf kann leider noch ziemlich oft ""ja, leider"" sein
3) Wer bestimmte Einschränkungen infrage stellt, weil er sie für unverhältnismäßig"
